Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	PolicyLossBeforeUpdate	PolicyLossAfterUpdate
1.0177407264709473	0	17.333333333333332	6.182412330330469	26.0	12.0	17.333333333333332	6.182412330330469	52	52	-0.0015047881	-0.59454626
1.0937786102294922	1	27.0	1.0	28.0	26.0	27.0	1.0	54	106	0.012233539	-0.33308735
1.1298065185546875	2	29.0	4.0	33.0	25.0	29.0	4.0	58	164	0.0052721687	-0.44880104
1.2158622741699219	3	180.0	0.0	180.0	180.0	180.0	0.0	180	344	0.036955062	-0.6174115
1.2508904933929443	4	64.0	0.0	64.0	64.0	64.0	0.0	64	408	-0.11015653	-0.55479354
1.298921823501587	5	44.0	0.0	44.0	44.0	44.0	0.0	88	496	-0.071994275	-0.46136588
1.3399536609649658	6	26.333333333333332	6.944222218666553	36.0	20.0	26.333333333333332	6.944222218666553	79	575	0.017100364	-0.004174184
1.3729891777038574	7	18.333333333333332	3.39934634239519	23.0	15.0	18.333333333333332	3.39934634239519	55	630	-0.12124015	-0.44602177
1.4150142669677734	8	34.5	11.5	46.0	23.0	34.5	11.5	69	699	-0.08717351	-0.24180432
1.4460558891296387	9	53.0	0.0	53.0	53.0	53.0	0.0	53	752	0.16938284	-0.06864807
1.5160858631134033	10	176.0	0.0	176.0	176.0	176.0	0.0	176	928	0.019515885	-0.06927526
1.5691239833831787	11	103.0	0.0	103.0	103.0	103.0	0.0	103	1031	0.002702528	-0.0065976623
1.6171560287475586	12	51.0	0.0	51.0	51.0	51.0	0.0	51	1082	-0.18338685	-0.3090322
1.7032191753387451	13	51.5	10.5	62.0	41.0	51.5	10.5	103	1185	0.031270567	-0.09478302
1.7372410297393799	14	61.0	0.0	61.0	61.0	61.0	0.0	61	1246	0.027574796	-0.17861147
1.7702653408050537	15	31.0	2.0	33.0	29.0	31.0	2.0	62	1308	-0.06388264	-0.35583746
1.8002855777740479	16	29.0	0.0	29.0	29.0	29.0	0.0	58	1366	-0.053580098	-0.7310164
1.8343102931976318	17	14.6	8.404760555780276	31.0	8.0	14.6	8.404760555780276	73	1439	0.085043356	0.15077648
1.8663339614868164	18	10.0	1.0	12.0	9.0	10.0	1.0	60	1499	0.1774322	0.14770062
1.8993580341339111	19	10.166666666666666	1.5723301886761007	12.0	8.0	10.166666666666666	1.5723301886761007	61	1560	-0.088637665	-0.16249411
1.9293794631958008	20	14.25	7.980444849756184	28.0	9.0	14.25	7.980444849756184	57	1617	-0.12798971	-0.79886997
1.9563984870910645	21	22.0	8.640987597877148	30.0	10.0	22.0	8.640987597877148	66	1683	-0.08820227	-0.18192185
1.9904208183288574	22	22.666666666666668	7.586537784494028	29.0	12.0	22.666666666666668	7.586537784494028	68	1751	-0.081900336	-0.14140384
2.0214571952819824	23	28.5	0.5	29.0	28.0	28.5	0.5	57	1808	-0.016337719	-0.020485746
2.058483362197876	24	27.5	0.5	28.0	27.0	27.5	0.5	55	1863	0.060154457	0.053580225
2.103503465652466	25	38.5	7.5	46.0	31.0	38.5	7.5	77	1940	0.03264692	-0.21835332
2.144531726837158	26	36.0	10.0	46.0	26.0	36.0	10.0	72	2012	0.056380782	0.059045553
2.1965816020965576	27	42.5	1.5	44.0	41.0	42.5	1.5	85	2097	-0.01711775	-0.11710941
2.2275912761688232	28	60.0	0.0	60.0	60.0	60.0	0.0	60	2157	-0.060403176	-0.096919864
2.2936363220214844	29	68.0	24.0	92.0	44.0	68.0	24.0	136	2293	0.09416202	-0.057570305
2.350691556930542	30	53.5	9.5	63.0	44.0	53.5	9.5	107	2400	0.03794138	-0.14121759
2.3907053470611572	31	77.0	0.0	77.0	77.0	77.0	0.0	77	2477	0.02780752	-0.28407267
2.463770866394043	32	155.0	0.0	155.0	155.0	155.0	0.0	155	2632	0.009971011	-0.13292821
2.50679874420166	33	94.0	0.0	94.0	94.0	94.0	0.0	94	2726	0.0319154	0.15210076
2.566840410232544	34	127.0	0.0	127.0	127.0	127.0	0.0	127	2853	-0.09830725	-0.13192469
2.6428985595703125	35	155.0	0.0	155.0	155.0	155.0	0.0	155	3008	0.00072313583	0.019102925
2.719940662384033	36	160.0	0.0	160.0	160.0	160.0	0.0	160	3168	-0.026797866	-0.16587034
2.787000894546509	37	134.0	0.0	134.0	134.0	134.0	0.0	134	3302	-0.042822905	-0.14501025
2.878052234649658	38	181.0	0.0	181.0	181.0	181.0	0.0	181	3483	0.0022373062	-0.20750006
2.9891297817230225	39	259.0	0.0	259.0	259.0	259.0	0.0	259	3742	0.05268224	-0.012893743
3.034162998199463	40	46.5	11.5	58.0	35.0	46.5	11.5	93	3835	0.023156146	-0.071701154
3.0812103748321533	41	45.0	13.0	58.0	32.0	45.0	13.0	90	3925	-0.025733484	-0.021256259
3.120225429534912	42	33.0	1.0	34.0	32.0	33.0	1.0	66	3991	-0.054522913	-0.27913567
3.157252073287964	43	31.5	1.5	33.0	30.0	31.5	1.5	63	4054	0.09072273	-0.033662584
3.2012829780578613	44	39.0	9.0	48.0	30.0	39.0	9.0	78	4132	-0.0066655767	-0.11684651
3.2443134784698486	45	75.0	0.0	75.0	75.0	75.0	0.0	75	4207	0.11103285	0.050639737
3.2803380489349365	46	71.0	0.0	71.0	71.0	71.0	0.0	71	4278	-0.018219445	-0.039792564
3.324378490447998	47	78.0	0.0	78.0	78.0	78.0	0.0	78	4356	0.04061186	-0.029178234
3.374419927597046	48	92.0	0.0	92.0	92.0	92.0	0.0	92	4448	-0.101733685	-0.25120825
3.4374632835388184	49	120.0	0.0	120.0	120.0	120.0	0.0	120	4568	0.02608786	0.049814567
3.4874989986419678	50	94.0	0.0	94.0	94.0	94.0	0.0	94	4662	0.0045432094	-0.09701703
3.556535482406616	51	129.0	0.0	129.0	129.0	129.0	0.0	129	4791	-0.034252364	-0.025303757
3.62758469581604	52	148.0	0.0	148.0	148.0	148.0	0.0	148	4939	0.013461919	-0.002702262
3.6936323642730713	53	142.0	0.0	142.0	142.0	142.0	0.0	142	5081	0.010554801	-0.041085552
