Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	PolicyLossBeforeUpdate	PolicyLossAfterUpdate
1.0057313442230225	0	3.1875	1.4670868242881878	7.0	1.0	3.1875	1.4670868242881878	51	51	-0.2523632	-0.35724035
1.0807664394378662	1	4.7272727272727275	2.631657241114569	10.0	2.0	4.7272727272727275	2.631657241114569	52	103	-0.43275186	-0.5765818
1.121798038482666	2	3.466666666666667	1.6679994670929073	7.0	1.0	3.466666666666667	1.6679994670929073	52	155	-0.18205617	-0.2412062
1.160825252532959	3	6.5	2.9154759474226504	12.0	2.0	6.5	2.9154759474226504	52	207	-0.20800914	-0.25191525
1.192864179611206	4	5.4	2.9393876913398134	11.0	2.0	5.4	2.9393876913398134	54	261	-0.37837157	-0.41458315
1.2278716564178467	5	8.0	2.9760952365713798	13.0	4.0	8.0	2.9760952365713798	56	317	-0.06580935	-0.09493566
1.26491117477417	6	7.0	5.5677643628300215	20.0	3.0	7.0	5.5677643628300215	56	373	-0.04022146	-0.029613512
1.299936294555664	7	6.75	3.960744879438715	16.0	3.0	6.75	3.960744879438715	54	427	-0.099786915	-0.10378343
1.3379631042480469	8	5.7	3.287856444554719	11.0	3.0	5.7	3.287856444554719	57	484	-0.16482109	-0.18647958
1.3719732761383057	9	7.428571428571429	4.271404682207444	14.0	2.0	7.428571428571429	4.271404682207444	52	536	-0.20317052	-0.22704865
1.4079985618591309	10	9.0	6.582805886043833	22.0	4.0	9.0	6.582805886043833	54	590	-0.059956137	-0.071580276
1.445039987564087	11	8.428571428571429	6.184245949118104	20.0	2.0	8.428571428571429	6.184245949118104	59	649	-0.23123571	-0.2684894
1.481064796447754	12	6.0	2.70801280154532	12.0	3.0	6.0	2.70801280154532	54	703	-0.25251395	-0.2856922
1.5170924663543701	13	9.333333333333334	3.636237371545238	15.0	4.0	9.333333333333334	3.636237371545238	56	759	-0.045496155	-0.051997695
1.5460965633392334	14	8.5	4.958158260214505	19.0	4.0	8.5	4.958158260214505	51	810	-0.05329044	-0.074496955
1.5821242332458496	15	4.909090909090909	2.3531234737354154	11.0	2.0	4.909090909090909	2.3531234737354154	54	864	-0.20444864	-0.25749353
1.6171483993530273	16	11.2	4.445222154178573	17.0	6.0	11.2	4.445222154178573	56	920	-0.15105121	-0.1795089
1.6501858234405518	17	20.333333333333332	5.734883511361751	27.0	13.0	20.333333333333332	5.734883511361751	61	981	-0.10480013	-0.117420524
1.6861963272094727	18	7.714285714285714	5.256676997992599	20.0	4.0	7.714285714285714	5.256676997992599	54	1035	-0.20995942	-0.3514954
1.7182378768920898	19	11.8	7.4404300950953095	21.0	2.0	11.8	7.4404300950953095	59	1094	-0.18241332	-0.21705025
1.7512681484222412	20	18.0	12.832251036613439	35.0	4.0	18.0	12.832251036613439	54	1148	0.027018053	0.020961797
1.7923095226287842	21	13.6	12.563439019631527	37.0	3.0	13.6	12.563439019631527	68	1216	-0.1523956	-0.14321475
1.830322265625	22	15.25	7.790218225441442	28.0	7.0	15.25	7.790218225441442	61	1277	-0.23474711	-0.25835732
1.8603570461273193	23	27.0	7.0	34.0	20.0	27.0	7.0	54	1331	-0.03427441	-0.04974148
1.9013862609863281	24	24.0	6.164414002968976	32.0	17.0	24.0	6.164414002968976	72	1403	-0.11313966	-0.14405583
1.9394009113311768	25	15.0	10.464224768228174	32.0	5.0	15.0	10.464224768228174	60	1463	-0.2340578	-0.24526109
1.9744377136230469	26	14.5	14.44818327679989	39.0	3.0	14.5	14.44818327679989	58	1521	-0.15771213	-0.21092793
2.00946307182312	27	30.0	5.0	35.0	25.0	30.0	5.0	60	1581	-0.026872678	-0.025940768
2.042473077774048	28	28.5	11.5	40.0	17.0	28.5	11.5	57	1638	0.071164414	0.0634502
2.0835013389587402	29	24.333333333333332	12.970050972229146	34.0	6.0	24.333333333333332	12.970050972229146	73	1711	-0.052548964	-0.063456774
2.117540121078491	30	34.5	5.5	40.0	29.0	34.5	5.5	69	1780	-0.017647253	-0.034443676
2.1655755043029785	31	33.333333333333336	13.27487183449325	51.0	19.0	33.333333333333336	13.27487183449325	100	1880	-0.015832836	-0.0450647
2.208604097366333	32	42.0	7.0	49.0	35.0	42.0	7.0	84	1964	0.032870285	0.032170918
2.2396278381347656	33	53.0	0.0	53.0	53.0	53.0	0.0	53	2017	0.059591897	0.045866735
2.275639772415161	34	73.0	0.0	73.0	73.0	73.0	0.0	73	2090	-0.14870708	-0.16660361
2.316667079925537	35	40.0	33.0	73.0	7.0	40.0	33.0	80	2170	-0.06331886	-0.06395226
2.347691535949707	36	60.0	0.0	60.0	60.0	60.0	0.0	60	2230	0.11687342	0.10795021
2.3897335529327393	37	81.0	0.0	81.0	81.0	81.0	0.0	81	2311	-0.09440471	-0.13187669
2.4437716007232666	38	52.5	6.5	59.0	46.0	52.5	6.5	105	2416	-0.007124326	-0.010015222
2.474782943725586	39	51.0	0.0	51.0	51.0	51.0	0.0	51	2467	0.05862909	-0.15551803
2.5178122520446777	40	79.0	0.0	79.0	79.0	79.0	0.0	79	2546	0.011759661	-0.0017901191
2.5488460063934326	41	64.0	0.0	64.0	64.0	64.0	0.0	64	2610	-0.0974464	-0.069578364
2.5828592777252197	42	59.0	0.0	59.0	59.0	59.0	0.0	59	2669	-0.10005141	-0.091860145
2.630896806716919	43	48.5	7.5	56.0	41.0	48.5	7.5	97	2766	0.010986522	0.005757617
2.6749215126037598	44	49.5	3.5	53.0	46.0	49.5	3.5	99	2865	-0.1403576	-0.16944258
2.7229719161987305	45	48.5	20.5	69.0	28.0	48.5	20.5	97	2962	-0.12007277	-0.14630738
2.762986660003662	46	73.0	0.0	73.0	73.0	73.0	0.0	73	3035	0.017053531	-0.08651851
2.823026657104492	47	127.0	0.0	127.0	127.0	127.0	0.0	127	3162	0.052563883	0.05019083
2.8580520153045654	48	69.0	0.0	69.0	69.0	69.0	0.0	69	3231	0.0774344	0.07381525
2.8920786380767822	49	62.0	0.0	62.0	62.0	62.0	0.0	62	3293	-0.017295191	-0.054998044
2.9271011352539062	50	69.0	0.0	69.0	69.0	69.0	0.0	69	3362	-0.12803908	-0.15812148
2.958122730255127	51	57.0	0.0	57.0	57.0	57.0	0.0	57	3419	-0.04496218	-0.100961074
2.990145683288574	52	54.0	0.0	54.0	54.0	54.0	0.0	54	3473	0.02047311	0.032335926
3.0351781845092773	53	48.5	1.5	50.0	47.0	48.5	1.5	97	3570	0.1434504	0.12449895
3.0622074604034424	54	51.0	0.0	51.0	51.0	51.0	0.0	51	3621	-0.09422835	-0.10991156
3.112234354019165	55	52.0	4.0	56.0	48.0	52.0	4.0	104	3725	-0.0671238	-0.06953912
3.1642839908599854	56	51.5	2.5	54.0	49.0	51.5	2.5	103	3828	0.0074461824	-0.012736255
3.209303379058838	57	48.0	2.0	50.0	46.0	48.0	2.0	96	3924	0.065636605	0.05913989
3.2513325214385986	58	47.0	2.0	49.0	45.0	47.0	2.0	94	4018	-0.057596777	-0.07974739
3.2993650436401367	59	50.5	2.5	53.0	48.0	50.5	2.5	101	4119	-0.11951716	-0.17494994
3.3413970470428467	60	46.0	1.0	47.0	45.0	46.0	1.0	92	4211	0.09137044	-0.0032823812
3.372417449951172	61	26.0	22.0	48.0	4.0	26.0	22.0	52	4263	-0.1252653	-0.1073414
3.401437759399414	62	58.0	0.0	58.0	58.0	58.0	0.0	58	4321	-0.008343154	-0.072377875
3.450474500656128	63	49.5	4.5	54.0	45.0	49.5	4.5	99	4420	0.052967697	-0.026697781
3.4865128993988037	64	10.833333333333334	6.335525936249404	22.0	6.0	10.833333333333334	6.335525936249404	65	4485	0.055159036	-0.15830107
3.5205249786376953	65	19.666666666666668	12.119772641798562	36.0	7.0	19.666666666666668	12.119772641798562	59	4544	-0.061410733	-0.23463541
3.551562547683716	66	8.5	5.220153254455275	20.0	5.0	8.5	5.220153254455275	51	4595	-0.035387356	0.00076853996
3.581580400466919	67	10.4	5.388877434122992	18.0	3.0	10.4	5.388877434122992	52	4647	-0.0331865	-0.02733969
3.620593547821045	68	7.375	5.170529469986609	20.0	3.0	7.375	5.170529469986609	59	4706	0.06881304	-0.17505983
3.656619071960449	69	5.888888888888889	2.4241582476968255	11.0	3.0	5.888888888888889	2.4241582476968255	53	4759	-0.10278722	-0.22463217
3.6916468143463135	70	6.625	2.2325713874364688	10.0	4.0	6.625	2.2325713874364688	53	4812	-0.11867389	-0.10348158
3.733675241470337	71	4.5	1.1902380714238083	8.0	3.0	4.5	1.1902380714238083	54	4866	-0.12850647	-0.094514795
